companyName,ticker,cik,filedAt,accessionNo,filingUrl
NVIDIA CORP,NVDA,1045810,2025-02-26T16:48:33-05:00,0001045810-25-000023,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm
JPMORGAN CHASE & CO,JPM,19617,2025-02-14T16:17:07-05:00,0000019617-25-000270,https://www.sec.gov/Archives/edgar/data/19617/000001961725000270/jpm-20241231.htm
PROCTER & GAMBLE Co,PG,80424,2024-08-05T16:16:53-04:00,0000080424-24-000083,https://www.sec.gov/Archives/edgar/data/80424/000008042424000083/pg-20240630.htm
NVIDIA CORP,NVDA,1045810,2024-02-21T16:36:57-05:00,0001045810-24-000029,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/nvda-20240128.htm
JPMORGAN CHASE & CO,JPM,19617,2024-02-16T16:20:22-05:00,0000019617-24-000225,https://www.sec.gov/Archives/edgar/data/19617/000001961724000225/jpm-20231231.htm
PROCTER & GAMBLE Co,PG,80424,2023-08-04T16:16:13-04:00,0000080424-23-000073,https://www.sec.gov/Archives/edgar/data/80424/000008042423000073/pg-20230630.htm
NVIDIA CORP,NVDA,1045810,2023-02-24T17:23:43-05:00,0001045810-23-000017,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm
JPMORGAN CHASE & CO,JPM,19617,2023-02-21T16:13:55-05:00,0000019617-23-000231,https://www.sec.gov/Archives/edgar/data/19617/000001961723000231/jpm-20221231.htm
PROCTER & GAMBLE Co,PG,80424,2022-08-05T16:21:50-04:00,0000080424-22-000064,https://www.sec.gov/Archives/edgar/data/80424/000008042422000064/pg-20220630.htm
NVIDIA CORP,NVDA,1045810,2022-03-17T20:33:34-04:00,0001045810-22-000036,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm
JPMORGAN CHASE & CO,JPM,19617,2022-02-22T16:56:31-05:00,0000019617-22-000272,https://www.sec.gov/Archives/edgar/data/19617/000001961722000272/jpm-20211231.htm
PROCTER & GAMBLE Co,PG,80424,2021-08-06T16:19:59-04:00,0000080424-21-000100,https://www.sec.gov/Archives/edgar/data/80424/000008042421000100/pg-20210630.htm
NVIDIA CORP,NVDA,1045810,2021-02-26T17:03:14-05:00,0001045810-21-000010,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/nvda-20210131.htm
JPMORGAN CHASE & CO,JPM,19617,2021-02-23T16:17:29-05:00,0000019617-21-000236,https://www.sec.gov/Archives/edgar/data/19617/000001961721000236/jpm-20201231.htm
PROCTER & GAMBLE Co,PG,80424,2020-08-06T16:17:03-04:00,0000080424-20-000053,https://www.sec.gov/ix?doc=/Archives/edgar/data/80424/000008042420000053/pg-20200630.htm
JPMORGAN CHASE & CO,JPM,19617,2020-02-25T16:31:02-05:00,0000019617-20-000257,https://www.sec.gov/ix?doc=/Archives/edgar/data/19617/000001961720000257/corp10k2019.htm
NVIDIA CORP,NVDA,1045810,2020-02-20T16:38:18-05:00,0001045810-20-000010,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045810/000104581020000010/nvda-2020x10k.htm
PROCTER & GAMBLE Co,PG,80424,2019-08-06T16:26:04-04:00,0000080424-19-000050,https://www.sec.gov/ix?doc=/Archives/edgar/data/80424/000008042419000050/fy181910-kreport.htm
JPMORGAN CHASE & CO,JPM,19617,2019-02-26T16:57:25-05:00,0000019617-19-000054,https://www.sec.gov/ix?doc=/Archives/edgar/data/19617/000001961719000054/corp10k2018.htm
NVIDIA CORP,NVDA,1045810,2019-02-21T16:37:18-05:00,0001045810-19-000023,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000023/nvda-2019x10k.htm
PROCTER & GAMBLE Co,PG,80424,2018-08-07T16:19:22-04:00,0000080424-18-000055,https://www.sec.gov/ix?doc=/Archives/edgar/data/80424/000008042418000055/fy171810-kreport.htm
NVIDIA CORP,NVDA,1045810,2018-02-28T16:31:19-05:00,0001045810-18-000010,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000010/nvda-2018x10k.htm
JPMORGAN CHASE & CO,JPM,19617,2018-02-27T16:23:03-05:00,0000019617-18-000057,https://www.sec.gov/Archives/edgar/data/19617/000001961718000057/corp10k2017.htm
PROCTER & GAMBLE Co,PG,80424,2017-08-07T16:05:16-04:00,0000080424-17-000047,https://www.sec.gov/Archives/edgar/data/80424/000008042417000047/fy161710-kreport.htm
NVIDIA CORP,NVDA,1045810,2017-03-01T17:30:49-05:00,0001045810-17-000027,https://www.sec.gov/Archives/edgar/data/1045810/000104581017000027/nvda-2017x10k.htm
JPMORGAN CHASE & CO,JPM,19617,2017-02-28T16:23:41-05:00,0000019617-17-000314,https://www.sec.gov/Archives/edgar/data/19617/000001961717000314/corp10k2016.htm
PROCTER & GAMBLE Co,PG,80424,2016-08-09T16:03:15-04:00,0000080424-16-000212,https://www.sec.gov/Archives/edgar/data/80424/000008042416000212/fy151610-kreport.htm
NVIDIA CORP,NVDA,1045810,2016-03-16T18:07:18-04:00,0001045810-16-000205,https://www.sec.gov/Archives/edgar/data/1045810/000104581016000205/nvda-2016x10k.htm
JPMORGAN CHASE & CO,JPM,19617,2016-02-23T16:17:46-05:00,0000019617-16-000902,https://www.sec.gov/Archives/edgar/data/19617/000001961716000902/corp10k2015.htm
PROCTER & GAMBLE Co,PG,80424,2015-08-07T16:02:16-04:00,0000080424-15-000070,https://www.sec.gov/Archives/edgar/data/80424/000008042415000070/fy141510-kreport.htm
NVIDIA CORP,NVDA,1045810,2015-03-11T19:48:05-04:00,0001045810-15-000036,https://www.sec.gov/Archives/edgar/data/1045810/000104581015000036/nvda-2015x10k.htm
JPMORGAN CHASE & CO,JPM,19617,2015-02-24T16:04:18-05:00,0000019617-15-000272,https://www.sec.gov/Archives/edgar/data/19617/000001961715000272/corp10k2014.htm
PROCTER & GAMBLE Co,PG,80424,2014-08-08T16:03:07-04:00,0000080424-14-000057,https://www.sec.gov/Archives/edgar/data/80424/000008042414000057/fy201410kannualreport.htm
NVIDIA CORP,NVDA,1045810,2014-03-12T19:18:57-04:00,0001045810-14-000030,https://www.sec.gov/Archives/edgar/data/1045810/000104581014000030/nvda-2014x10k.htm
JPMORGAN CHASE & CO,JPM,19617,2014-02-19T20:02:20-05:00,0000019617-14-000289,https://www.sec.gov/Archives/edgar/data/19617/000001961714000289/corp10k2013.htm
